Stn_# Station                  Stn_Freq    Time_Offset    Stn_Lon    Ref_Lon
  447 DATSAV3   :726556:KRWF     60         180            -95.08     -50.00
  448 DATSAV3   :726564:KRGK     60         180            -92.48     -50.00
  449 DATSAV3   :726574:KMFI     60         180            -90.18     -50.00
  450 ASOSH     :MFI             60         180            -90.19     -50.00
  451 DATSAV3   :726763:KWEY     60         240           -111.10     -50.00
  452 NPN       :WDLM5           60         180            -95.45     -50.00
  453 HPLAINS   :A396079         60         240           -103.57     -50.00
  454 DATSAV3   :726660:KSHR     60         240           -106.97     -50.00
  455 ASOSH     :SHR             60         240           -106.98     -50.00
  456 DATSAV3   :726579:KFCM     60         180            -93.45     -50.00
  457 DATSAV3   :726603:KSGS     60         180            -93.15     -50.00
  458 DATSAV3   :726569:KHCD     60         180            -94.38     -50.00
  459 DATSAV3   :726435:KEAU     60         180            -91.48     -50.00
  460 HPLAINS   :A397049         60         180            -98.38     -50.00
  461 ASOSH     :MSP             60         180            -93.22     -50.00
  462 DATSAV3   :726580:KMSP     60         180            -93.22     -50.00
  463 DATSAV3   :726546:KATY     60         180            -97.15     -50.00
  464 HPLAINS   :A398939         60         180            -97.15     -50.00
  465 ASOSH     :STP             60         180            -93.06     -50.00
  466 DATSAV3   :726584:KSTP     60         180            -93.07     -50.00
  467 DATSAV3   :727466:KDXX     60         180            -96.17     -50.00
  468 DATSAV3   :726553:KMVE     60         180            -95.72     -50.00
  469 HPLAINS   :A393229         60         180           -100.28     -50.00
  470 DATSAV3   :726539:KD07     60         180           -102.02     -50.00
  471 ASOSH     :D07             60         180           -102.02     -50.00
  472 DATSAV3   :726575:KMIC     60         180            -93.35     -50.00
  473 DATSAV3   :726417:KMDZ     60         180            -90.28     -50.00
  474 DATSAV3   :726865:KSMN     60         240           -113.88     -50.00
  475 DATSAV3   :726576:KILL     60         180            -95.08     -50.00
  476 DATSAV3   :726577:KANE     60         180            -93.22     -50.00
  477 AgriMet   :RBYM            60         240           -112.11     -50.00
  478 DATSAV3   :726796:KDLN     60         240           -112.55     -50.00
  479 NRCS/SMST :CRESCENT LAKE   60         180            -93.57     -50.00
  480 ASOSH     :DLN             60         240           -112.55     -50.00
  481 DATSAV3   :727515:KVVV     60         180            -96.42     -50.00
  482 DATSAV3   :727507:KBBB     60         180            -95.65     -50.00
  483 DATSAV3   :726418:KOEO     60         180            -92.67     -50.00
  484 AgriMet   :DLNM            60         240           -112.51     -50.00
  485 ASOSH     :ABR             60         180            -98.42     -50.00
  486 DATSAV3   :726590:KABR     60         180            -98.43     -50.00
  487 DATSAV3   :726467:KRPD     60         180            -91.72     -50.00
  488 DATSAV3   :726685:KMBG     60         180           -100.43     -50.00
  489 ASOSH     :STC             60         180            -94.06     -50.00
  490 ASOSH     :MBG             60         180           -100.41     -50.00
  491 DATSAV3   :726550:KSTC     60         180            -94.07     -50.00
  492 DATSAV3   :726682:KPNM     60         180            -93.60     -50.00
  493 DATSAV3   :726627:K2WX     60         240           -103.52     -50.00
  494 DATSAV3   :726565:KMOX     60         180            -95.97     -50.00
  495 DATSAV3   :727503:KCBG     60         180            -93.27     -50.00
  496 ASOSH     :2WX             60         240           -103.55     -50.00
  497 DATSAV3   :726547:KGHW     60         180            -95.32     -50.00
  498 DATSAV3   :727533:KETH     60         180            -96.50     -50.00
  499 DATSAV3   :726468:KPBH     60         180            -90.40     -50.00
  500 DATSAV3   :726797:KBZN     60         240           -111.15     -50.00
  501 DATSAV3   :726770:KBIL     60         240           -108.53     -50.00
  502 ASOSH     :BIL             60         240           -108.54     -50.00
  503 ASOSH     :AXN             60         180            -95.39     -50.00
  504 DATSAV3   :726557:KAXN     60         180            -95.40     -50.00
  505 DATSAV3   :727475:KJMR     60         180            -93.27     -50.00
  506 DATSAV3   :726695:KY22     60         180           -102.17     -50.00
  507 DATSAV3   :726785:KBTM     60         240           -112.50     -50.00
  508 DATSAV3   :726578:KLXL     60         180            -94.35     -50.00
  509 HPLAINS   :A324187         60         240           -102.50     -50.00
  510 ASOSH     :HEI             60         240           -102.66     -50.00
  511 DATSAV3   :727584:KHEI     60         240           -102.65     -50.00
  512 ASOSH     :HYR             60         180            -91.44     -50.00
  513 DATSAV3   :726508:KHYR     60         180            -91.45     -50.00
  514 HPLAINS   :A326629         60         180            -98.10     -50.00
  515 DATSAV3   :727534:KP67     60         180            -97.15     -50.00
  516 AgriMet   :TOSM            60         240           -111.48     -50.00
  517 HPLAINS   :A320999         60         240           -103.47     -50.00
  518 DATSAV3   :727473:KCDD     60         180            -92.57     -50.00
  519 HPLAINS   :A329709         60         180            -97.08     -50.00
  520 DATSAV3   :726560:KFFM     60         180            -96.15     -50.00
  521 HPLAINS   :A325229         60         180           -100.27     -50.00
  522 HPLAINS   :A322489         60         180            -98.77     -50.00
  523 DATSAV3   :726777:KBHK     60         240           -104.25     -50.00
  524 ASOSH     :BHK             60         240           -104.26     -50.00
  525 DATSAV3   :727514:KSAZ     60         180            -94.78     -50.00
  526 DATSAV3   :726555:KBRD     60         180            -94.13     -50.00
  527 HPLAINS   :A325759         60         180            -97.40     -50.00
  528 DATSAV3   :726775:K3HT     60         240           -109.83     -50.00
  529 NRCS/SMST :MANDAN          60         180           -100.54     -50.00
  530 DATSAV3   :727445:KIWD     60         180            -90.13     -50.00
  531 DATSAV3   :727504:KAIT     60         180            -93.68     -50.00
  532 DATSAV3   :727720:KHLN     60         240           -112.00     -50.00
  533 ASOSH     :HLN             60         240           -111.98     -50.00
  534 DATSAV3   :726427:KSUW     60         180            -92.08     -50.00
  535 AgriMet   :HVMT            60         240           -111.98     -50.00
  536 DATSAV3   :726558:KCOQ     60         180            -92.50     -50.00
  537 DATSAV3   :727508:KPWC     60         180            -94.37     -50.00
  538 HPLAINS   :A324299         60         180            -96.90     -50.00
  539 HPLAINS   :A328367         60         180            -99.47     -50.00
  540 DATSAV3   :727640:KBIS     60         180           -100.75     -50.00
  541 DATSAV3   :727456:KDYT     60         180            -92.08     -50.00
  542 AgriMet   :BRTM            60         240           -105.30     -50.00
  543 HPLAINS   :A320599         60         240           -103.97     -50.00
  544 DATSAV3   :727645:KDIK     60         240           -102.80     -50.00
  545 DATSAV3   :727457:KDTL     60         180            -95.88     -50.00
  546 DATSAV3   :727450:KDLH     60         180            -92.18     -50.00
  547 HPLAINS   :A325219         60         180            -98.93     -50.00
  548 HPLAINS   :A322189         60         240           -102.80     -50.00
  549 HPLAINS   :A320829         60         180           -100.62     -50.00
  550 HPLAINS   :A322858         60         180            -96.80     -50.00
  551 DATSAV3   :727530:KFAR     60         180            -96.80     -50.00
  552 DATSAV3   :727453:KPKD     60         180            -95.07     -50.00
  553 ASOSH     :PKD             60         180            -95.07     -50.00
  554 ASOSH     :MSO             60         240           -114.09     -50.00
  555 DATSAV3   :727730:KMSO     60         240           -114.08     -50.00
  556 ASOSH     :FAR             60         180            -96.82     -50.00
  557 DATSAV3   :727535:KJMS     60         180            -98.68     -50.00
  558 AgriMet   :BRGM            60         240           -104.80     -50.00
  559 HPLAINS   :A327359         60         180            -97.12     -50.00
  560 DATSAV3   :726776:KLWT     60         240           -109.47     -50.00
  561 DATSAV3   :727444:KTWM     60         180            -91.75     -50.00
  562 HPLAINS   :A216419         60         180            -96.52     -50.00
  563 DATSAV3   :726676:KGDV     60         240           -104.80     -50.00
  564 HPLAINS   :A327589         60         180            -99.80     -50.00
  565 HPLAINS   :A321999         60         180            -98.17     -50.00
  566 HPLAINS   :A323359         60         180            -97.43     -50.00
  567 DATSAV3   :727556:KBFW     60         180            -91.40     -50.00
  568 DATSAV3   :727458:KGPZ     60         180            -93.52     -50.00
  569 HPLAINS   :A324019         60         180           -101.68     -50.00
  570 DATSAV3   :727684:KJDN     60         240           -106.93     -50.00
  571 DATSAV3   :727455:KHIB     60         180            -92.83     -50.00
  572 HPLAINS   :A324209         60         180            -97.07     -50.00
  573 DATSAV3   :727474:KEVM     60         180            -92.50     -50.00
  574 DATSAV3   :727760:****     60         240           -111.38     -50.00
  575 DATSAV3   :727750:KGTF     60         240           -111.37     -50.00
  576 HPLAINS   :A321369         60         180            -99.12     -50.00
  577 HPLAINS   :A325679         60         180            -97.25     -50.00
  578 DATSAV3   :727550:KBJI     60         180            -94.93     -50.00
  579 AgriMet   :BOMT            60         240           -112.25     -50.00
  580 HPLAINS   :A328849         60         180           -100.90     -50.00
  581 DATSAV3   :727505:KFSE     60         180            -95.77     -50.00
  582 ASOSH     :N60             60         180           -101.44     -50.00
  583 DATSAV3   :727677:KN60     60         180           -101.43     -50.00
  584 AgriMet   :GFMT            60         240           -111.81     -50.00
  585 HPLAINS   :A325749         60         180            -98.60     -50.00
  586 DATSAV3   :727687:KSDY     60         240           -104.20     -50.00
  587 HPLAINS   :A247569         60         240           -104.15     -50.00
  588 HPLAINS   :A324009         60         180            -99.92     -50.00
  589 HPLAINS   :A326499         60         180            -97.60     -50.00
  590 DATSAV3   :727468:KFOZ     60         180            -93.65     -50.00
  591 HPLAINS   :A329249         60         240           -103.28     -50.00
  592 HPLAINS   :A211549         60         180            -96.85     -50.00
  593 DATSAV3   :726549:KCQM     60         180            -92.70     -50.00
  594 DATSAV3   :727459:KELO     60         180            -91.83     -50.00
  595 DATSAV3   :727469:KGNA     60         180            -90.37     -50.00
  596 HPLAINS   :A247579         60         240           -104.23     -50.00
  597 DATSAV3   :727454:KCKC     60         180            -90.38     -50.00
  598 HPLAINS   :A323619         60         180            -97.08     -50.00
  599 DATSAV3   :727452:KCKN     60         180            -96.62     -50.00
  600 DATSAV3   :727576:KGFK     60         180            -97.18     -50.00
  601 DATSAV3   :727575:KRDR     60         180            -97.40     -50.00
  602 DATSAV3   :726544:KORB     60         180            -92.87     -50.00
  603 DATSAV3   :727555:KTVF     60         180            -96.18     -50.00
  604 ASOSH     :OLF             60         240           -105.57     -50.00
  605 DATSAV3   :727686:KOLF     60         240           -105.58     -50.00
  606 DATSAV3   :727573:KDVL     60         180            -98.92     -50.00
  607 HPLAINS   :A329439         60         240           -103.73     -50.00
  608 HPLAINS   :A218649         60         180            -96.80     -50.00
  609 AgriMet   :GLGM            60         240           -106.61     -50.00
  610 DATSAV3   :727670:KISN     60         240           -103.60     -50.00
  611 HPLAINS   :A320509         60         180            -99.65     -50.00
  612 HPLAINS   :A325999         60         180           -101.30     -50.00
  613 ASOSH     :GGW             60         240           -106.61     -50.00
  614 DATSAV3   :727680:KGGW     60         240           -106.62     -50.00
  615 NRCS/SMST :FORT ASSINIBOIN 60         240           -109.48     -50.00
  616 DATSAV3   :727790:KFCA     60         240           -114.27     -50.00
  617 HPLAINS   :A323109         60         180            -97.60     -50.00
  618 ASOSH     :FCA             60         240           -114.25     -50.00
  619 HPLAINS   :A328799         60         180           -100.47     -50.00
  620 AgriMet   :MATM            60         240           -107.78     -50.00
  621 DATSAV3   :727675:KMIB     60         180           -101.35     -50.00
  622 HPLAINS   :A218019         60         180            -96.77     -50.00
  623 HPLAINS   :A321289         60         180            -99.20     -50.00
  624 AgriMet   :HRLM            60         240           -108.83     -50.00
  625 DATSAV3   :727770:KHVR     60         240           -109.77     -50.00
  626 ASOSH     :INL             60         180            -93.40     -50.00
  627 DATSAV3   :727470:KINL     60         180            -93.38     -50.00
  628 DATSAV3   :727796:KCTB     60         240           -112.37     -50.00
  629 HPLAINS   :A328269         60         180            -97.48     -50.00
  630 AgriMet   :BFAM            60         240           -112.59     -50.00
  631 ASOSH     :BDE             60         180            -94.61     -50.00
  632 DATSAV3   :727476:KBDE     60         180            -94.62     -50.00
  633 HPLAINS   :A324959         60         180            -98.33     -50.00
  634 HPLAINS   :A321709         60         240           -102.75     -50.00
  635 HPLAINS   :A326029         60         180           -101.53     -50.00
  636 HPLAINS   :A321439         60         180            -97.75     -50.00
  637 DATSAV3   :727478:KHCO     60         180            -96.95     -50.00
  638 HPLAINS   :A320949         60         180           -100.75     -50.00
  639 DATSAV3   :727477:KROX     60         180            -95.70     -50.00
  640 HPLAINS   :A327249         60         180            -99.57     -50.00
  641 HPLAINS   :A213879         60         180            -97.08     -50.00
  642 HPLAINS   :A329159         60         180            -97.85     -50.00
  643 DATSAV3   :727467:KFGN     60         180            -94.90     -50.00
  644 DATSAV3   :725621:KOGA     60         180           -101.77     -50.00
  645 DATSAV3   :726798:KLVM     60         240           -110.45     -50.00
  646 ASOSH     :BZN             60         240           -111.15     -50.00
  647 ASOSH     :OMA             60         180            -95.89     -50.00
  648 ASOSH     :MIC             60         180            -93.35     -50.00
  649 DATSAV3   :727676:KMOT     60         180           -101.28     -50.00
  650 DATSAV3   :724773:KU28     60         240           -110.17     -50.00
  651 ASOSH     :GTF             60         240           -111.37     -50.00
  652 ASOSH     :HVR             60         240           -109.76     -50.00
  653 DATSAV3   :725628:KHDE     60         180            -99.33     -50.00
  654 ASOSH     :LNK             60         180            -96.76     -50.00
  655 DATSAV3   :724845:K9BB     60         240           -114.97     -50.00
  656 ASOSH     :ASX             60         180            -90.92     -50.00
  657 ASOSH     :MHK             60         180            -96.67     -50.00
  658 ASOSH     :PGA             60         240           -111.45     -50.00
  659 ASOSH     :ISN             60         240           -103.64     -50.00
  660 DATSAV3   :726416:KLNR     60         180            -90.18     -50.00
  661 DATSAV3   :724550:KFRI     60         180            -96.77     -50.00
  662 DATSAV3   :726436:KVOK     60         180            -90.27     -50.00
  663 DATSAV3   :723675:KE33     60         240           -106.58     -50.00
  664 DATSAV3   :724725:KT62     60         240           -112.30     -50.00
  665 DATSAV3   :725463:KCCY     60         180            -92.62     -50.00
  666 DATSAV3   :724680:KFCS     60         240           -104.77     -50.00
  667 DATSAV3   :725467:KSDA     60         180            -95.42     -50.00
  668 DATSAV3   :725453:KAIO     60         180            -95.05     -50.00
  669 DATSAV3   :725498:KADU     60         180            -94.92     -50.00
  670 DATSAV3   :725868:KU78     60         240           -111.58     -50.00
  671 DATSAV3   :726606:KEFC     60         240           -103.87     -50.00
  672 DATSAV3   :727735:K3DU     60         240           -113.15     -50.00
  673 DATSAV3   :723434:KASG     60         180            -94.12     -50.00
  674 DATSAV3   :725483:KFSW     60         180            -91.33     -50.00
  675 ASOSH     :UNO             60         180            -91.90     -50.00
  676 DATSAV3   :725626:KIML     60         180           -101.62     -50.00
  677 ASOSH     :CYS             60         240           -104.81     -50.00
  678 DATSAV3   :725489:KORC     60         180            -96.07     -50.00
  679 AgriMet   :BOZM            60         240           -111.15     -50.00
  680 NPN       :PLTC2           60         240           -104.72     -50.00
  681 DATSAV3   :726774:KHMM     60         240           -114.15     -50.00
  682 DATSAV3   :725496:KSLB     60         180            -95.23     -50.00
  683 ASOSH     :ATY             60         180            -97.15     -50.00
  684 DATSAV3   :724756:KBCE     60         240           -112.15     -50.00
  685 DATSAV3   :725869:K77M     60         240           -113.33     -50.00
  686 NPN       :NLGN            60         180            -97.79     -50.00
  687 ASOSH     :TOR             60         240           -104.15     -50.00
  688 DATSAV3   :726583:KLJF     60         180            -94.50     -50.00
  689 ASOSH     :IEN             60         240           -102.51     -50.00
  690 WYDOT_RWIS:PKV             60         240           -105.47     -50.00
  691 WYDOT_RWIS:VDW             60         240           -105.40     -50.00
  692 WYDOT_RWIS:EVE             60         240           -110.77     -50.00
  693 WYDOT_RWIS:ARL             60         240           -106.21     -50.00
  694 WYDOT_RWIS:BTR             60         240           -108.58     -50.00
  695 WYDOT_RWIS:CDV             60         240           -107.70     -50.00
  696 WYDOT_RWIS:BOR             60         240           -104.94     -50.00
  697 WYDOT_RWIS:PFD             60         240           -106.85     -50.00
  698 WYDOT_RWIS:BVR             60         240           -108.29     -50.00
  699 WYDOT_RWIS:DER             60         240           -105.86     -50.00
  700 WYDOT_RWIS:HLD             60         240           -107.32     -50.00
  701 WYDOT_RWIS:CPN             60         240           -106.34     -50.00
  702 WYDOT_RWIS:BLF             60         240           -105.45     -50.00
  703 WYDOT_RWIS:KCN             60         240           -106.65     -50.00
  704 WYDOT_RWIS:DHS             60         240           -106.10     -50.00
  705 WYDOT_RWIS:CDS             60         240           -108.87     -50.00
  706 WYDOT_RWIS:SDN             60         240           -104.63     -50.00
  707 WYDOT_RWIS:PNY             60         240           -106.82     -50.00
  708 WYDOT_RWIS:WTK             60         240           -104.87     -50.00
  709 WYDOT_RWIS:GRV             60         240           -109.46     -50.00
  710 WYDOT_RWIS:SBL             60         240           -105.04     -50.00
  711 ASOSH     :AKO             60         240           -103.22     -50.00
  712 ASOSH     :BRD             60         180            -94.14     -50.00
