Stn_# Station                  Stn_Freq    Time_Offset    Stn_Lon    Ref_Lon
  189 MOCAWS    :Linneus         60         180            -93.15     -50.00
  190 DATSAV3   :724699:KBJC     60         240           -105.12     -50.00
  191 DATSAV3   :724396:KUIN     60         180            -91.20     -50.00
  192 MOCAWS    :Novelty         60         180            -92.35     -50.00
  193 ASOSH     :EEO             60         240           -107.89     -50.00
  194 HPLAINS   :A257079         60         180            -98.28     -50.00
  195 DATSAV3   :725533:KFNB     60         180            -95.60     -50.00
  196 NPN       :RWDN            60         180           -100.65     -50.00
  197 NPN       :FBYN            60         180            -97.34     -50.00
  198 DATSAV3   :724455:KIRK     60         180            -92.55     -50.00
  199 HPLAINS   :A050119         60         240           -103.15     -50.00
  200 DATSAV3   :724698:KAKO     60         240           -103.22     -50.00
  201 DATSAV3   :725625:KMCK     60         180           -100.58     -50.00
  202 ASOSH     :MCK             60         180           -100.59     -50.00
  203 DATSAV3   :725724:KPVU     60         240           -111.72     -50.00
  204 HPLAINS   :A255319         60         180           -100.58     -50.00
  205 MOCAWS    :Albany          60         180            -94.35     -50.00
  206 HPLAINS   :A250629         60         180            -96.93     -50.00
  207 DATSAV3   :725515:KBIE     60         180            -96.75     -50.00
  208 MOCAWS    :Corning         60         180            -95.48     -50.00
  209 HPLAINS   :A253919         60         180            -99.37     -50.00
  210 HPLAINS   :A251599         60         180           -101.72     -50.00
  211 DATSAV3   :725705:KVEL     60         240           -109.52     -50.00
  212 DATSAV3   :724768:KGXY     60         240           -104.63     -50.00
  213 ASOSH     :VEL             60         240           -109.51     -50.00
  214 DATSAV3   :724769:KFNL     60         240           -105.02     -50.00
  215 DATSAV3   :725456:KEOK     60         180            -91.43     -50.00
  216 HPLAINS   :A057959         60         240           -103.02     -50.00
  217 HPLAINS   :A237229         60         180            -95.48     -50.00
  218 DATSAV3   :725715:KHDN     60         240           -107.22     -50.00
  219 ASOSH     :CAG             60         240           -107.52     -50.00
  220 DATSAV3   :725700:KCAG     60         240           -107.53     -50.00
  221 HPLAINS   :A253929         60         180            -99.35     -50.00
  222 NRCS/SMST :NUNN            60         240           -104.44     -50.00
  223 HPLAINS   :A255569         60         180            -99.05     -50.00
  224 HPLAINS   :A257899         60         180            -98.13     -50.00
  225 HPLAINS   :A258109         60         180            -99.67     -50.00
  226 DATSAV3   :725525:KHSI     60         180            -98.43     -50.00
  227 ASOSH     :HSI             60         180            -98.43     -50.00
  228 DATSAV3   :725499:KLWD     60         180            -93.95     -50.00
  229 HPLAINS   :A252109         60         180           -100.50     -50.00
  230 ASOSH     :LWD             60         180            -93.90     -50.00
  231 DATSAV3   :725479:KICL     60         180            -95.03     -50.00
  232 HPLAINS   :A254339         60         180            -99.02     -50.00
  233 HPLAINS   :A257779         60         180            -98.75     -50.00
  234 DATSAV3   :725810:KENV     60         240           -114.03     -50.00
  235 DATSAV3   :725526:KEAR     60         180            -99.00     -50.00
  236 HPLAINS   :A254769         60         180            -96.67     -50.00
  237 HPLAINS   :A254669         60         180            -99.73     -50.00
  238 HPLAINS   :A254719         60         180            -96.68     -50.00
  239 HPLAINS   :A254749         60         180            -96.65     -50.00
  240 HPLAINS   :A254729         60         180            -96.60     -50.00
  241 DATSAV3   :725720:KSLC     60         240           -111.97     -50.00
  242 DATSAV3   :725455:KBRL     60         180            -91.13     -50.00
  243 ASOSH     :BRL             60         180            -91.13     -50.00
  244 HPLAINS   :A254759         60         180            -96.70     -50.00
  245 HPLAINS   :A254809         60         180            -96.65     -50.00
  246 DATSAV3   :725510:KLNK     60         180            -96.75     -50.00
  247 HPLAINS   :A254699         60         180            -96.60     -50.00
  248 HPLAINS   :A259519         60         180            -97.62     -50.00
  249 HPLAINS   :A254739         60         180            -96.73     -50.00
  250 HPLAINS   :A253409         60         180            -98.50     -50.00
  251 DATSAV3   :725513:KAUH     60         180            -98.00     -50.00
  252 HPLAINS   :A252319         60         180           -100.97     -50.00
  253 DATSAV3   :725520:KGRI     60         180            -98.32     -50.00
  254 ASOSH     :GRI             60         180            -98.31     -50.00
  255 HPLAINS   :A131559         60         180            -93.43     -50.00
  256 DATSAV3   :725494:KRDK     60         180            -95.27     -50.00
  257 DATSAV3   :725474:KCSQ     60         180            -94.37     -50.00
  258 DATSAV3   :725469:KCNC     60         180            -93.37     -50.00
  259 DATSAV3   :726498:KFFL     60         180            -91.98     -50.00
  260 HPLAINS   :A256079         60         180           -100.77     -50.00
  261 DATSAV3   :725610:KSNY     60         240           -102.98     -50.00
  262 DATSAV3   :725465:KOTM     60         180            -92.45     -50.00
  263 ASOSH     :SNY             60         240           -102.99     -50.00
