Document 	 http://www.dlr.de/~zoeger/falcon_basis_overview_en.html target=top 
DC-8 Meteorology Navigation and State Parameter Data [(NASA)] 	ftp://icats.arc.nasa.gov 
ARM SGP Data Quality Reports [(ARM)] 	 http://dq.arm.gov/cgi-bin/dqmenu.pl 
Document 	 http://dq.arm.gov/dqo_info.html 
ARM SGP Quicklook and Animation Products [(ARM)] 	 http://www.nsdl.arm.gov/visualization.htm 
Document 	 http://www.nsdl.arm.gov/index.shtml 
NCAR Homestead Integrated Sounding System (ISS) Surface Data [(NCAR-EOL)] 	 http://www.eol.ucar.edu/rdp/mss_retrieval/index.html 
NCAR Homestead Integrated Sounding System (ISS) Surface Imagery [(NCAR-EOL)] 	 http://www.eol.ucar.edu/rdp/mss_retrieval/index.html 
NCAR Integrated Surface Flux Facility (ISFF) Imagery [(NCAR-EOL)] 	 http://www.eol.ucar.edu/isf/projects/ihop_2002/isff/plot_select.jsp 
Document 	 http://www.nssl.noaa.gov/users/ziegler/public_html/v2_NSSL_manual.doc.pdf 
Document 	 http://public.ornl.gov/ameriflux/Participants/Sites/Site_Info/siteInfo.cfm 
Document 	 http://data.eol.ucar.edu/datafile/nph-get/77.004/okmeso_ocs_mwq.txt 
EDC/USGS Land Use and Land Cover Data [(EDC)] 	 http://edc.usgs.gov/glis/hyper/guide/1_250_lulc#lulc9 
Document 	 http://edc.usgs.gov/products/landcover/lulc.html#description 
IHOP/NCAR Soil, Vegetation, and Surface Data Set 	 http://www.rap.ucar.edu/projects/land/IHOP/Archive 
Land AVHRR NDVI Composites [(USGS)] 	 http://edc.usgs.gov/products/landcover/ndvi.html 
Document 	 http://edc.usgs.gov/products/landcover/ndvi.html#description 
Land EDC 30 Arc-Second Elevation Data [(EDC)] 	 http://edcdaac.usgs.gov/gtopo30/gtopo30.html 
Document 	 http://edcdaac.usgs.gov/gtopo30/README.html 
Land EDC 30-m Digital Elevation Model [(EDC)] 	 http://edc.usgs.gov/products/elevation/dem.html 
Document 	 http://edc.usgs.gov/products/elevation/dem.html#description 
Land EDC North America Hydro 1K Elevation Derivative Data[EDC] 	 http://edcdaac.usgs.gov/gtopo30/hydro/namerica.html 
Document 	 http://edcdaac.usgs.gov/gtopo30/hydro/readme.html 
Land Soil Characteristics Data (1 km) [(PSU)] 	 http://www.essc.psu.edu/soil_info/index.cgi?soil_data&conus 
Document 	 http://www.essc.psu.edu/soil_info/index.cgi?soil_data&conus 
Land SSURGO Data [(NRCS)] 	 http://www.ftw.nrcs.usda.gov/ssur_data.html 
Document 	 http://www.ftw.nrcs.usda.gov/ssurgo.html 
Land STATSGO Data [(NRCS)] 	 http://www.ftw.nrcs.usda.gov/stat_data.html 
Document 	 http://www.ftw.nrcs.usda.gov/statsgo.html 
Land STATSGO Data [(PSU)] 	 http://www.essc.psu.edu/soil_info/index.cgi?soil_data&statsgo 
Document 	 http://www.essc.psu.edu/soil_info/index.cgi?soil_data&statsgo 
ESRL Local Area Prediction System (LAPS) 	 http://laps.fsl.noaa.gov/IHOP_Forecasts 
Document 	 http://laps.fsl.noaa.gov 
Document 	 http://maps.fsl.noaa.gov 
Meteorology ECMWF Global Grids [(NCAR-SCD)] 	 http://dss.ucar.edu/catalogs/ranges/range110.html 
FMCW S-band Imagery [(UMass)] 	 http://abyss.ecs.umass.edu/tep/experiments/ihop2002 
Document 	 http://abyss.ecs.umass.edu/tep/sensors/fmcw.html 
Document 	 http://www.eol.ucar.edu/dir_off/workshops/mobile/dow.html 
Document 	 http://www.met.tamu.edu/personnel/faculty/biggerstaff/smart-r.html 
P-3 ELDORA WARD [(NCAR-EOL)] 	 http://www.eol.ucar.edu/rdp/mss_retrieval/index.html 
S-band Polarimetric (S-Pol) DZ/VE Scan Imagery [(NCAR-EOL)] 	 http://www.eol.ucar.edu/rtf/projects/ihop_2002/spol/summary/quicklook/img_viewer.html 
S-band Polarimetric (S-Pol) Fabry Refractive Index Imagery [(NCAR-EOL)] 	 http://www.eol.ucar.edu/rtf/projects/ihop_2002/spol/summary/N_quicklook/img_viewer.html 
WSI National Mosaic Reflectivity Imagery (8-km) [(NCAR-EOL)] 	 http://www4.ncdc.noaa.gov/cgi-win/wwcgi.dll?WWNEXRAD~Images2 
Document 	 http://www.ncdc.noaa.gov/oa/radar/radarresources.html 
Document 	 http://www.ncdc.noaa.gov/oa/radar/radarresources.html 
ARM SGP Data Quality Reports [(ARM)] 	 http://dq.arm.gov/cgi-bin/dqmenu.pl 
Document 	 http://dq.arm.gov/dqo_info.html 
ARM SGP Quicklook and Animation Products [(ARM)] 	 http://www.nsdl.arm.gov/visualization.htm 
Document 	 http://www.nsdl.arm.gov/index.shtml 
DC-8 Scanning High-resolution Interferometer Sounder (S-HIS) [(NASA)] 	 http://gi.ssec.wisc.edu/%7Eshis/shis/shisdata.php3 
NASA Aeronet Sun Photometer (Holben) 	 http://aeronet.gsfc.nasa.gov/data_frame.html 
Document 	 http://aeronet.gsfc.nasa.gov/Aeronetnew.html 
DMSP Data [(NOAA-NGDC, NSIDC)] 	 http://dmsp.ngdc.noaa.gov/dmsp.html 
Document 	 http://dmsp.ngdc.noaa.gov/html/sensors.html 
ERS-2 Orbital Tracks Imagery [(NASA-LaRC)] 	ftp://angler.larc.nasa.gov/public/predicts/gif/usa/ers-2 
GOES-8 Cloud Product Imagery [(NASA-LaRC)] 	ftp://angler.larc.nasa.gov/public/armsgp/products 
GOES-8 Imagery with Flight Tracks [(U Wisc)] 	 http://zonda.ssec.wisc.edu/%7Eihop/viewer 
Document 	 http://zonda.ssec.wisc.edu/%7Eihop/viewer/moreinfo.html 
Document 	ftp://suomi.ssec.wisc.edu/pub/rtascii/readme.tbb 
Document 	ftp://suomi.ssec.wisc.edu/pub/rtascii/readme.profile 
GOES-8 Sounder Product (Cloud Drift Winds) Data/Imagery [(U Wisc)] 	 http://zonda.ssec.wisc.edu/%7Erabin/archive.html 
GOES-8 Sounder Product (LI, CAPE, TPW, Skin T) Data [(U Wisc)] 	ftp://vern.ssec.wisc.edu/pub/rtascii/ihop/ihop_archive 
LANDSAT-7 Orbital Tracks Imagery [(NASA-LaRC)] 	ftp://angler.larc.nasa.gov/public/predicts/gif/usa/landsat7 
POES NOAA Orbital Tracks Imagery [(NASA-LaRC)] 	ftp://angler.larc.nasa.gov/public/predicts/gif/usa/noaa 
POES NOAA TOMS Data [(NASA)] 	 http://toms.gsfc.nasa.gov/ftpdata.html 
Document 	 http://toms.gsfc.nasa.gov/ftpdata.html 
RADARSAT Orbital Tracks Imagery [(NASA-LaRC)] 	ftp://angler.larc.nasa.gov/public/predicts/gif/usa/radarsat 
TERRA ASTER [(NASA)] 	 http://asterweb.jpl.nasa.gov/gettingdata 
Document 	 http://asterweb.jpl.nasa.gov/documents/documents.htm 
TERRA CERES [(NASA)] 	 http://eosweb.larc.nasa.gov/project/ceres/table_ceres.html 
Document 	 http://asd-www.larc.nasa.gov/ceres/docs.html 
TERRA MISR [(NASA)] 	 http://eosweb.larc.nasa.gov/PRODOCS/misr/table_misr.html 
TERRA MODIS [(NASA)] 	 http://daac.gsfc.nasa.gov/MODIS/data_access.shtml 
Document 	 http://modis.gsfc.nasa.gov 
TERRA MOPITT [(NASA)] 	 http://eosweb.larc.nasa.gov/PRODOCS/mopitt/table_mopitt.html 
Document 	 http://www.space.gc.ca/csa_sectors/space_science/atmospheric_env/mopitt.asp 
TERRA Orbital Tracks Imagery [(NASA-LaRC)] 	ftp://angler.larc.nasa.gov/public/predicts/gif/usa/terra 
TRMM [(NASA)] 	 http://trmm.gsfc.nasa.gov/data_dir/data.html 
TRMM Orbital Tracks Imagery [(NASA-LaRC)] 	ftp://angler.larc.nasa.gov/public/predicts/gif/usa/trmm 
