
Information about map: EDT                 
==================================

Map name (internal)     : EDT000
Sounding set (internal) : 0
RS-Number               : E4514351
Data record length      : 40 bytes
Number of data records  : 2410
Max filemap size        : 2410 bytes
Data header size        : 12504 bytes
Free space in map       : -106494 bytes (107371520 records)
Status flag (not used)  : 1


   Record name:    Unit:           Data type:          Divisor: Offset:
   ---------------------------------------------------------------------
    time            sec             float (4)          1        0       
    Pscl            ln              short (2)          1        0       
    T               K               short (2)          10       0       
    RH              %               short (2)          1        0       
    v               m/s             short (2)          -100     0       
    u               m/s             short (2)          -100     0       
    Height          m               short (2)          1        30000   
    P               hPa             short (2)          10       0       
    TD              K               short (2)          10       0       
    MR              g/kg            short (2)          100      0       
    DD              dgr             short (2)          1        0       
    FF              m/s             short (2)          10       0       
    AZ              dgr             short (2)          1        0       
    Range           m               short (2)          0.01     0       
    Lon             dgr             short (2)          100      0       
    Lat             dgr             short (2)          100      0       
    SpuKey          bitfield        unsigned short (2) 1        0       
    UsrKey          bitfield        unsigned short (2) 1        0       
    RadarH          m               short (2)          1        30000   

*************************************************************************************************

    44.00	 28186.00	   299.40	    34.00	    -3.72	     5.07	   292.00	   973.90	   282.50	     7.55	   306.00	     6.30	   130.00	   200.00	    73.80	    15.45	     0.00	     0.00	-32768.00	
    46.00	 28181.00	   299.60	    30.00	    -3.63	     4.93	   301.00	   972.80	   280.70	     6.67	   306.00	     6.10	   130.00	   200.00	    73.80	    15.45	     0.00	     0.00	-32768.00	
    48.00	 28176.00	   299.60	    28.00	    -3.53	     4.74	   312.00	   971.60	   279.80	     6.27	   307.00	     5.90	   130.00	   300.00	    73.80	    15.45	     0.00	     0.00	-32768.00	
    50.00	 28171.00	   299.60	    28.00	    -3.46	     4.53	   323.00	   970.40	   279.60	     6.17	   307.00	     5.70	   130.00	   300.00	    73.80	    15.45	     0.00	     0.00	-32768.00	
    52.00	 28166.00	   299.60	    29.00	    -3.39	     4.28	   333.00	   969.30	   280.40	     6.57	   308.00	     5.50	   130.00	   300.00	    73.80	    15.45	     0.00	     0.00	-32768.00	
    54.00	 28161.00	   299.60	    32.00	    -3.32	     4.01	   345.00	   967.90	   281.40	     7.04	   310.00	     5.20	   130.00	   300.00	    73.80	    15.45	 49152.00	 49152.00	-32768.00	
    56.00	 28155.00	   299.50	    33.00	    -3.26	     3.73	   357.00	   966.60	   282.10	     7.40	   311.00	     5.00	   130.00	   300.00	    73.80	    15.45	     0.00	     0.00	-32768.00	
    58.00	 28150.00	   299.50	    34.00	    -3.21	     3.45	   367.00	   965.50	   282.60	     7.64	   313.00	     4.70	   130.00	   300.00	    73.80	    15.45	     0.00	     0.00	-32768.00	
    60.00	 28145.00	   299.40	    35.00	    -3.15	     3.18	   378.00	   964.30	   282.90	     7.81	   315.00	     4.50	   130.00	   300.00	    73.80	    15.45	     0.00	     0.00	-32768.00	
    62.00	 28140.00	   299.40	    35.00	    -3.08	     2.92	   390.00	   963.10	   283.00	     7.87	   316.00	     4.20	   130.00	   300.00	    73.80	    15.45	     0.00	     0.00	-32768.00	
    64.00	 28135.00	   299.30	    36.00	    -3.01	     2.69	   400.00	   961.90	   283.00	     7.90	   318.00	     4.00	   130.00	   300.00	    73.80	    15.45	     0.00	     0.00	-32768.00	
    66.00	 28130.00	   299.30	    36.00	    -2.94	     2.49	   411.00	   960.80	   283.00	     7.90	   320.00	     3.90	   131.00	   300.00	    73.80	    15.45	     0.00	     0.00	-32768.00	
    68.00	 28125.00	   299.30	    36.00	    -2.86	     2.34	   421.00	   959.60	   283.10	     7.96	   321.00	     3.70	   131.00	   400.00	    73.80	    15.45	     0.00	     0.00	-32768.00	
    70.00	 28120.00	   299.40	    36.00	    -2.78	     2.21	   432.00	   958.50	   283.10	     7.95	   321.00	     3.60	   131.00	   400.00	    73.80	    15.45	     0.00	     0.00	-32768.00	
    72.00	 28115.00	   299.50	    35.00	    -2.70	     2.12	   443.00	   957.30	   282.90	     7.85	   322.00	     3.40	   131.00	   400.00	    73.80	    15.45	     0.00	     0.00	-32768.00	
    74.00	 28110.00	   299.60	    34.00	    -2.64	     2.06	   454.00	   956.00	   282.70	     7.79	   322.00	     3.30	   131.00	   400.00	    73.80	    15.45	     0.00	     0.00	-32768.00	
    76.00	 28105.00	   299.60	    34.00	    -2.58	     2.03	   465.00	   954.90	   282.60	     7.76	   322.00	     3.30	   132.00	   400.00	    73.80	    15.45	     0.00	     0.00	-32768.00	
    78.00	 28100.00	   299.60	    34.00	    -2.53	     2.02	   476.00	   953.70	   282.60	     7.75	   321.00	     3.20	   132.00	   400.00	    73.80	    15.45	     0.00	     0.00	-32768.00	
    80.00	 28095.00	   299.50	    34.00	    -2.51	     2.00	   486.00	   952.60	   282.70	     7.78	   322.00	     3.20	   132.00	   400.00	    73.80	    15.45	     0.00	     0.00	-32768.00	
    82.00	 28091.00	   299.50	    35.00	    -2.52	     1.99	   495.00	   951.60	   282.70	     7.81	   322.00	     3.20	   132.00	   400.00	    73.80	    15.45	     0.00	     0.00	-32768.00	
    84.00	 28086.00	   299.40	    35.00	    -2.53	     1.98	   506.00	   950.50	   282.60	     7.79	   322.00	     3.20	   132.00	   400.00	    73.81	    15.45	     0.00	     0.00	-32768.00	
