
Information about map: EDT                 
==================================

Map name (internal)     : EDT000
Sounding set (internal) : 0
RS-Number               : E4514351
Data record length      : 40 bytes
Number of data records  : 2410
Max filemap size        : 2410 bytes
Data header size        : 12504 bytes
Free space in map       : -106494 bytes (107371520 records)
Status flag (not used)  : 1


   Record name:    Unit:           Data type:          Divisor: Offset:
   ---------------------------------------------------------------------
    time            sec             float (4)          1        0       
    Pscl            ln              short (2)          1        0       
    T               K               short (2)          10       0       
    RH              %               short (2)          1        0       
    v               m/s             short (2)          -100     0       
    u               m/s             short (2)          -100     0       
    Height          m               short (2)          1        30000   
    P               hPa             short (2)          10       0       
    TD              K               short (2)          10       0       
    MR              g/kg            short (2)          100      0       
    DD              dgr             short (2)          1        0       
    FF              m/s             short (2)          10       0       
    AZ              dgr             short (2)          1        0       
    Range           m               short (2)          0.01     0       
    Lon             dgr             short (2)          100      0       
    Lat             dgr             short (2)          100      0       
    SpuKey          bitfield        unsigned short (2) 1        0       
    UsrKey          bitfield        unsigned short (2) 1        0       
    RadarH          m               short (2)          1        30000   

*************************************************************************************************

     0.00	 28302.00	   -32768.00	   -32768.00	   -32768.00	     -32768.00    -32768.00	  -32768.00	   -32768.00	    -32768.00	   -32768.00	     -32768.00   -32768.00	     -32768.00	-32768.00	-32768.00	 -32768.000	 49159.00	    40.00	
     2.00	 28302.00	   -32768.00	   -32768.00	   -32768.00	     -32768.00    -32768.00	  -32768.00	   -32768.00	    -32768.00	   -32768.00	     -32768.00   -32768.00	     -32768.00	-32768.00	-32768.00	 -32768.000	 49159.00	    40.00	
     3.00	 28302.00	   -32768.00	   -32768.00	   -32768.00	     -32768.00    -32768.00	  -32768.00	   -32768.00	    -32768.00	   -32768.00	     -32768.00   -32768.00	     -32768.00	-32768.00	-32768.00	 -32768.000	 49159.00	    40.00	
     4.00	 28302.00	   -32768.00	   -32768.00	   -32768.00	     -32768.00    -32768.00	  -32768.00	   -32768.00	    -32768.00	   -32768.00	     -32768.00   -32768.00	     -32768.00	-32768.00	-32768.00	 -32768.000	 49159.00	    40.00	
