1, UCURR_LMO, long_name = "UHSAS Laser Current" ;, units = "V" ;, Category = "Raw" ;, , xxx,
1, UPRESS_LIO, long_name = "UHSAS Absolute Pressure in Canister" ;, units = "kPa" ;, Category = "Analog" ;, , xxx,
1, UFLWC_RWOO, long_name = "UHSAS Corrected Flow" ;, units = "vol cm3/s" ;, Category = "PMS Probe" ;, , xxx,
1, CVIon_SP2, long_name = "CVIon_(1=CVI_sample), SP2" ;, units = "unitless" ;, Category = unknown, , xxx,
1, CHN2CNT_MTP, long_name = "Channel 2 Counts" ;, units = "count" ;, Category = "Raw" ;, , xxx,
1, TDSP_RWI, long_name = "3VCPI DSP Temperature" ;, units = "degC" ;, Category = "Raw" ;, , xxx,
1, DISPD_LWI, long_name = "CDP Dispersion (sigma/dbarx)" ;, units = "none" ;, Category = "PMS Probe" ;, , xxx,
1, NREJECT2DCR_LWIO, long_name = "Number of Fast 2DC Particles Rejected, Round Particles" ;, units = "count" ;, Category = "PMS Probe" ;, , xxx,
1, DBZD_ROI, long_name = "CDP Calculated Reflectivity" ;, units = "dBZ" ;, Category = "PMS Probe" ;, , xxx,
1, DBARU_RWOO, long_name = "UHSAS Mean Particle Diameter" ;, units = "um" ;, Category = "PMS Probe" ;, , xxx,
1, MINUTE, long_name = "Raw Tape Time Component" ;, units = "minute" ;, Category = "Raw" ;, , xxx,
1, NREJECT2DCA_LWIO, long_name = "Number of Fast 2DC Particles Rejected, All Particles" ;, units = "count" ;, Category = "PMS Probe" ;, , xxx,
1, CDPWBTMP_LWOI, long_name = "CDP Wing Board Temperature" ;, units = "deg_C" ;, Category = "Raw" ;, , xxx,
1, CONC1DC100_RWIO, long_name = "2D-C Concentration 100u and larger, Center-in (all cells)" ;, units = "#/L" ;, Category = "PMS Probe" ;, , xxx,
1, A1DC_ROO, long_name = "Fast 2DC Raw Accumulation, entire-in (per cell)" ;, units = "count" ;, Category = "PMS Probe" ;, , xxx,
