A1DC_LWIO, long_name = "Fast 2DC Raw Accumulation, entire-in (per cell)" ;, units = "count" ;, Category = "PMS Probe" ;, 3 , xxx,
A1DC_LWO, long_name = "Fast 2DC Raw Accumulation, entire-in (per cell)" ;, units = "count" ;, Category = "PMS Probe" ;, 3 , xxx,
A1DC_LWOO, long_name = "Fast 2DC Raw Accumulation, entire-in (per cell)" ;, units = "count" ;, Category = "PMS Probe" ;, 3 , xxx,
A1DC_RIO, long_name = "Fast 2DC Raw Accumulation, entire-in (per cell)" ;, units = "count" ;, Category = "PMS Probe" ;, 1 , xxx,
A1DC_ROO, long_name = "Fast 2DC Raw Accumulation, entire-in (per cell)" ;, units = "count" ;, Category = "PMS Probe" ;, 1 , xxx,
A1DC_RWIO, long_name = "Fast 2DC Raw Accumulation, entire-in (per cell)" ;, units = "count" ;, Category = "PMS Probe" ;, 1 , xxx,
A1DC_RWO, long_name = "Fast 2DC Raw Accumulation, entire-in (per cell)" ;, units = "count" ;, Category = "PMS Probe" ;, 2 , xxx,
A1DC_RWOI, long_name = "Fast 2DC Raw Accumulation, entire-in (per cell)" ;, units = "count" ;, Category = "PMS Probe" ;, 1 , xxx,
A1DC_RWOO, long_name = "Fast 2DC Raw Accumulation, entire-in (per cell)" ;, units = "count" ;, Category = "PMS Probe" ;, 2 , xxx,
A2D3A_3H, long_name = "No title" ;, units = "count" ;, Category = "PMS Probe" ;, 2 , xxx,
A2D3A_3V, long_name = "No title" ;, units = "count" ;, Category = "PMS Probe" ;, 2 , xxx,
A2D3R_3H, long_name = "No title" ;, units = "count" ;, Category = "PMS Probe" ;, 2 , xxx,
A2D3R_3V, long_name = "No title" ;, units = "count" ;, Category = "PMS Probe" ;, 2 , xxx,
A2DCA_LMI, long_name = "Fast 2DC Corrected Accumulation per Channel, All Particles" ;, units = "count" ;, Category = "PMS Probe" ;, 1 , xxx,
A2DCA_LWIO, long_name = "Fast 2DC Corrected Accumulation per Channel, All Particles" ;, units = "count" ;, Category = "PMS Probe" ;, 1 , xxx,
A2DCA_LWO, long_name = "Fast 2DC Corrected Accumulation per Channel, All Particles" ;, units = "count" ;, Category = "PMS Probe" ;, 6 , xxx,
A2DCA_LWOO, long_name = "Fast 2DC Corrected Accumulation per Channel, All Particles" ;, units = "count" ;, Category = "PMS Probe" ;, 4 , xxx,
A2DCA_RWOO, long_name = "Fast 2DC Corrected Accumulation per Channel, All Particles" ;, units = "count" ;, Category = "PMS Probe" ;, 1 , xxx,
A2DCR_LMI, long_name = "Fast 2DC Corrected Accumulation per Channel, Round Particles" ;, units = "count" ;, Category = "PMS Probe" ;, 1 , xxx,
A2DCR_LWIO, long_name = "Fast 2DC Corrected Accumulation per Channel, Round Particles" ;, units = "count" ;, Category = "PMS Probe" ;, 1 , xxx,
A2DCR_LWO, long_name = "Fast 2DC Corrected Accumulation per Channel, Round Particles" ;, units = "count" ;, Category = "PMS Probe" ;, 6 , xxx,
A2DCR_LWOO, long_name = "Fast 2DC Corrected Accumulation per Channel, Round Particles" ;, units = "count" ;, Category = "PMS Probe" ;, 4 , xxx,
A2DCR_RWOO, long_name = "Fast 2DC Corrected Accumulation per Channel, Round Particles" ;, units = "count" ;, Category = "PMS Probe" ;, 1 , xxx,
A2DC_LWO, long_name = "Fast 2DC Raw Accumulation, center-in (per cell)" ;, units = "count" ;, Category = "PMS Probe" ;, 1 , xxx,
A2DTEMP_310, long_name = "A2DTemperature" ;, units = "deg_C" ;, Category = "Raw" ;, 2 , xxx,
A2DTEMP_ADS, long_name = "A2D Temperature" ;, units = "deg_C" ;, Category = "Raw" ;, 5 , xxx,
A2DTEMP_ADS0, long_name = "A2D Temperature" ;, units = "deg_C" ;, Category = "Raw" ;, 13 , xxx,
A2DTEMP_ADS1, long_name = "A2DTemperature" ;, units = "deg_C" ;, Category = "Raw" ;, 10 , xxx,
A2DTEMP_CAB, long_name = "A2DTemperature" ;, units = "deg_C" ;, Category = "Raw" ;, 2 , xxx,
A2DTEMP_GPT10, long_name = "A2DTemperature" ;, units = "deg_C" ;, Category = "Raw" ;, 2 , xxx,
A2DTEMP_GPT11, long_name = "A2DTemperature" ;, units = "deg_C" ;, Category = "Raw" ;, 2 , xxx,
A2DTEMP_GPT20, long_name = "A2DTemperature" ;, units = "deg_C" ;, Category = "Raw" ;, 2 , xxx,
A2DTEMP_GPT21, long_name = "A2DTemperature" ;, units = "deg_C" ;, Category = "Raw" ;, 2 , xxx,
A2DTEMP_LWI, long_name = "A2DTemperature" ;, units = "deg_C" ;, Category = "Raw" ;, 4 , xxx,
A2DTEMP_LWO, long_name = "A2DTemperature" ;, units = "deg_C" ;, Category = "Raw" ;, 3 , xxx,
A2DTEMP_MPDB0, long_name = "A2DTemperature" ;, units = "deg_C" ;, Category = "Raw" ;, 11 , xxx,
