,type_id,class_id,classification name,parent class,parent_class_id,note,zith category,new parent category,new category in zith?,zith platform,new platform in zith?,use zith9 name,fix zith9 name,zith site,zith event
,1,2,AQUA,Satellite,161,,Satellite,,,"Satellite, NASA/EOS Aqua",,X,,,
,1,4,Abundance,Biology,23,,Biology                                            ,,,,X,,"NEON AOP3 Twin Otter - add parent and ""Aircraft, """,,
,1,5,Active Layer/Permafrost,Soils,168,,Active Layer/Permafrost,,,,,,,,
,1,6,Aerial Photography,Photography,131,change child to photogarphy,Photography,,,,,,,,
,1,7,Air Force C-130,Aircraft,8,,Aircraft,,,"Aircraft, USAF C-130",,X,,,
,1,8,Aircraft,,,,Aircraft,,,,,,,,
,1,11,Ancillary,,,,Ancillary Info,,,,,,,,
,1,16,Aura,Satellite,161,,Satellite,,,"Satellite, NASA/EOS Aura",,X,,,
,1,18,Bathymetry,Land Characterization,91,,Oceanography,,,,,,,,
,1,19,Benthos                                            ,,,,Oceanography,Biology,,,,,,,
,1,22,Biogeochemical,Biology,,,Biology,,X,,,,,,
,1,23,Biology                                            ,,,,Biology                                            ,,,,,,,,
,1,24,Biomass,Biology,23,,Biology,Biology,X,,,,,,
,1,25,Boundary Layer Meteorology                         ,,,,Boundary Layer Meteorology                         ,,,,,,,,
,1,26,Buoy,,124,,,,,Buoy,X,,,,
,1,27,CALIPSO,Satellite,161,,Satellite,,,CALIPSO,X,,,,
,1,28,CCGS Des Groseilliers,Ship Based,166,,Ship,,,CCGS Des Groseilliers,X,,,,
,1,30,CTD,Oceanography,124,,,,,CTD ocean cast,,X,,,
,1,32,Chemistry                                          ,,,,Chemistry                                          ,,,,,,,,
,1,34,Citation,Aircraft,8,,Aircraft,,,"Aircraft, Citation",,X,,,
,1,37,CloudSat,Satellite,161,,Satellite,,,CLOUDSAT,,X,,,
,1,38,Composites,Mesonet,96,add mesonet to name,,,,Mesonet Composites,X,,,,
,1,39,Constant Level Balloon,Upper Air,197,,Upper Air,,,Balloons,,X,,,
,1,40,Coordinated Experiments,Model,102,,,,,Coordinated Experiments,X,,,,
,1,42,DEM,Land Characterization,91,,DEM,,,DEM - Digital Elevation Model,,,,,
,1,43,DLR Falcon,Aircraft,8,,Aircraft,,,"Aircraft, DLR Falcon",,X,,,
,1,44,DMSP,Satellite,161,,Satellite,,,"Satellite, DMSP",,X,,,
,1,45,DOE Gulf Stream 1 (G-1),Aircraft,8,,Aircraft,,,"Aircraft, DOE Gulf Stream 1 (G-1)",,X,,,
,1,46,Data Assimilation,Model,102,,,,,Data Assimilation,X,,,,
,1,50,Dropsonde,Upper Air,197,,Upper Air,,,Dropsonde,X,,,,
,1,51,ENVISAT,Satellite,161,,Satellite,,,ENVISAT,X,,,,
,1,52,ERS,Satellite,161,,Satellite,,,ERS,X,,,,
,1,53,Field Campaign,Model,102,,,,,Field Campaign,X,,,,
,1,55,Flux                                               ,,,,Flux                                               ,,,,,,,,
,1,56,Flux Tower,Flux,55,,Flux,,,Flux Tower,,,,,
,1,57,GIS                                                ,,,,,,,,,,,,
,1,58,GOES,Satellite,161,after merge subdivide these in GOESnn ,Satellite,,,GOES,X,,,,
