Acronyms,archive_ident
NOAA,106.396 || 106.439 || 106.440 || 106.441 || 106.ARCSS009 || 102.008 || 102.043 || 102.051 || 102.076 || 102.261 || 245.B62-001 || 245.B52-006 || 245.B52-007 || 245.B52-008 || 245.B52-009 || 245.B52-010 || 245.B52-011 || 245.B62-007 || 245.B62-008 || 245.B62-009 || 245.B62-010 || 245.B62-011 || 62.197 || 13.301 || 13.302 || 13.310 || 13.311 || 13.312 || 13.313 || 13.314 || 13.315 || 13.708
GOES,106.396 || 106.399
METEOSAT,106.396
MTSAT,106.396
FY-2,106.396
DLF,106.411
TIROS-N,106.411 || 106.214
TOVS,106.411
NBP03-04a,106.410 || 62.135
HLY0203,106.407 || 62.189
MODIS,106.412 || 255.004 || 255.032
CH,106.414
HS,106.414
IARC,106.414
CO2,106.416 || 106.444 || 106.445 || 106.446 || 106.226 || 106.227 || 106.225 || 106.ARCSS022 || 106.295 || 106.312 || 56.958 || 46.500 || 46.501 || 46.502 || 46.510 || 46.5100 || 46.648 || 46.649 || 46.714 || 46.752 || 46.740 || 46.756 || 56.959
NEE,106.416
GeoTIF,106.416
FS3,106.419
ASD,106.419
CM14,106.422
CR10,106.422
SSL,106.424
LiDAR,106.425 || 106.318 || 106.323 || 106.327
LMS-,106.425
SIZONET,106.426
AK,106.426 || 106.223 || 106.296
IDs,106.428 || 106.429 || 106.436 || 106.431 || 106.432 || 106.434
DNA,106.433 || 106.438
"
BE",106.442
BEN,106.442
BEC,106.442
BES,106.442
"
BEX_MET_YYYY",106.442
YYYY&quot,106.442
"
BEX_MET_Fields",106.442
III,106.443
SR,106.447
NDVI,106.447 || 46.515 || 46.516 || 46.517 || 46.631 || 46.632 || 46.633 || 46.634 || 46.635 || 46.636 || 56.244 || 56.810 || 56.811 || 56.812 || 56.943 || 56.9430 || 56.968
PIs,106.447
CKEditor,999.test.xml.1
HTML,999.test.xml.1
UTF-8,999.test.xml.1
SQL:,999.test.xml.1
PHENARC,106.448
NSF/NCAR,215.001 || 215.002 || 230.001 || 230.002 || 230.003
AMTS,215.001
LRT,215.001
N130AR,215.002
ADS,215.002
ARCMIP,61.001 || 61.006
HDF,61.001
ECMWF,61.001 || 106.257 || 106.241 || 106.272 || 106.288 || 106.ARCSS182 || 106.231 || 13.721 || 13.746
DLT,61.001
SHEBA,61.002 || 61.003 || 106.ARCSS140 || 106.ARCSS142 || 62.180 || 62.181 || 13.113 || 13.830 || 13.101 || 13.107 || 13.112 || 13.114 || 13.115 || 13.118 || 13.120 || 13.121 || 13.122 || 13.412 || 13.460 || 13.503 || 13.517 || 13.519 || 13.524 || 13.526 || 13.529 || 13.610 || 13.611 || 13.742 || 13.731 || 13.732 || 13.735 || 13.743 || 13.802 || 13.803 || 13.817 || 13.818 || 13.831 || 13.833 || 13.450 || 13.451 || 13.452 || 13.453 || 13.454 || 13.455 || 13.116 || 13.117 || 13.602 || 13.612 || 13.123 || 13.741
AVHRR,61.002 || 106.261 || 46.719 || 46.754 || 102.053 || 102.065 || 102.066 || 102.089 || 13.411 || 13.413
ISCCP,61.004
FDX-P2,61.004
EASE-Grid,61.004
CASPR-ARCMIP,61.005
EASE,61.005
GRID,61.005
ARCSyM,61.006 || 106.ARCSS030 || 46.300
COAMPS,61.006
HIRHAM,61.006
NARCM,61.006
SMHIRC,61.006
CASPR,61.007
SNACS,106.210 || 106.212 || 106.232 || 106.216 || 106.217 || 106.221 || 106.211
MM5,106.210
AOS,106.ARCSS093 || 62.038 || 62.039 || 62.040 || 62.041
FTIR,106.ARCSS093
GISP,106.ARCSS026
ARCSS,106.ARCSS091 || 106.ARCSS037 || 106.ARCSS040 || 106.ARCSS106 || 106.ARCSS900 || 106.ARCSS910 || 106.268 || 106.ARCSS908 || 13.600
NSIDC,106.ARCSS091 || 106.ARCSS045 || 13.801
MMP,106.ARCSS165
ASL,106.ARCSS165
ULS,106.ARCSS165
BPR,106.ARCSS165
SMB,106.ARCSS159
ABPR,106.218
NH4NO3,106.224
OTCs,106.226
LI-6200,106.226
ADCP,106.229 || 102.185 || 102.191 || 102.135 || 62.068 || 62.123 || 62.166 || 62.239 || 62.240 || 62.241 || 62.242 || 62.2250 || 62.314 || 62.316
RDI,106.229
RD,106.229 || 13.520
NSF,106.229 || 106.206 || 106.213 || 13.800
"1978-1979		ERA40
1979-1980",106.212
2000-2001		ERA40,106.212
SSMR/SSMI,106.212
2006-2007		TOGA,106.212
NNRP,106.212
GISP2,106.ARCSS069 || 106.ARCSS005 || 106.ARCSS113 || 106.ARCSS137
CD,106.ARCSS069 || 106.235 || 62.036 || 62.037 || 62.034 || 62.035 || 62.159 || 62.165
SHEBA/FIRE,106.ARCSS140
ACE,106.ARCSS140
SPEC,106.ARCSS140
CD-ROM,106.ARCSS140
ART-Russia,106.233
SNOW,106.ARCSS138
SSNOWD,106.ARCSS138
SSNOWD's,106.ARCSS138
CV,106.ARCSS138
SWE,106.201 || 106.ARCSS119 || 106.252 || 106.283 || 106.200 || 106.309 || 46.746 || 46.7460
NWT,106.202
ITEX,106.208 || 106.313 || 106.314 || 106.315 || 46.645 || 46.646 || 46.647 || 56.201 || 56.2010 || 56.300 || 56.3000 || 56.301 || 56.302 || 56.3020 || 56.323 || 56.325 || 56.329 || 56.330 || 56.340 || 56.3400 || 56.341 || 56.342 || 56.3420 || 56.343 || 56.500 || 56.5000 || 56.501 || 56.502 || 56.503 || 56.504 || 56.505 || 56.506 || 56.507 || 56.508 || 56.509 || 56.510 || 56.511 || 56.512 || 56.513 || 56.514 || 56.530 || 56.5300 || 56.531 || 56.650 || 56.651 || 56.903 || 56.904 || 56.906 || 56.907 || 56.908 || 56.909 || 56.910 || 56.917 || 56.930 || 56.9300 || 56.931 || 56.9310 || 56.934 || 56.935 || 56.939 || 56.940 || 56.941 || 56.942 || 56.944 || 56.9440 || 56.945 || 56.9450 || 56.328
NEP,106.208
ER,106.208
SNACS-Hg,106.213
NCEP,106.214 || 106.242 || 106.243 || 106.244 || 106.245 || 106.247 || 106.248 || 106.249 || 106.253 || 106.254 || 106.240 || 106.255 || 106.256 || 106.246 || 106.250 || 106.271 || 106.273 || 106.274 || 106.275 || 106.276 || 106.277 || 106.278 || 106.279 || 106.280 || 106.281 || 106.284 || 106.285 || 106.286 || 106.287 || 62.187 || 62.188 || 13.701 || 13.709 || 13.710 || 13.711
NJ,106.214
CDOM,106.216
SYN,106.219
PEUK,106.219
CTD,106.222 || 106.ARCSS011 || 106.ARCSS077 || 106.ARCSS095 || 106.ARCSS151 || 106.ARCSS150 || 102.060 || 102.164 || 102.165 || 102.059 || 102.058 || 102.142 || 102.195 || 102.197 || 102.134 || 102.016 || 102.196 || 102.198 || 102.252 || 102.256 || 245.B62-012 || 245.B62-013 || 245.B62-014 || 255.011 || 255.036 || 255.038 || 255.042 || 62.071 || 62.073 || 62.053 || 62.054 || 62.118 || 62.125 || 62.128 || 62.129 || 62.137 || 62.139 || 62.141 || 62.172 || 62.174 || 62.214 || 62.215 || 62.216 || 62.217 || 62.218 || 62.292 || 62.308 || 62.192 || 62.1920 || 62.193 || 62.1930 || 62.194 || 62.1940 || 62.195 || 62.1950 || 62.182 || 13.527 || 13.528
NODC,106.237
WOA,106.237
NODC's,106.237
EWG,106.237
AOA,106.237
BIO,106.237 || 106.ARCSS102
PHC,106.237
NMC,106.ARCSS003
SLP,106.ARCSS003
SLPT,106.ARCSS003
ARCSS/LAII,106.ARCSS004 || 106.ARCSS013
MS,106.ARCSS006 || 46.6171 || 46.670
GRIP,106.ARCSS008
US,106.ARCSS008 || 102.001 || 102.002 || 102.005 || 102.013 || 102.017 || 102.018 || 102.021 || 102.022 || 102.023 || 102.026 || 102.027 || 102.029 || 102.030 || 102.031 || 102.033 || 102.034 || 102.035 || 102.036 || 102.037 || 102.038 || 102.040 || 102.044 || 102.048 || 102.068 || 102.069 || 102.070 || 102.073 || 102.080 || 102.081 || 102.082 || 102.083 || 102.098 || 102.099 || 102.100 || 102.015 || 102.019 || 102.024 || 102.025 || 102.175 || 102.176 || 102.178 || 102.182 || 102.067 || 102.057 || 102.056 || 102.077 || 102.010 || 102.004 || 56.320 || 56.3200 || 56.321 || 56.3210 || 56.322 || 56.324 || 56.326 || 56.327 || 56.331 || 56.3310 || 56.332 || 56.3320 || 255.048
SMO,106.ARCSS008
IICDC,106.ARCSS008
WDC,106.ARCSS008
NGDC,106.ARCSS008
NOAA-NGDC,106.ARCSS008
Long-EZ,106.ARCSS009
LAI,106.ARCSS012 || 106.ARCSS058 || 46.518 || 46.600 || 46.706 || 46.7060 || 46.707 || 46.755 || 46.7550 || 46.7070 || 46.689 || 46.6890 || 46.691 || 46.6910 || 46.692 || 46.6920 || 46.695 || 46.6950 || 46.697 || 46.6970 || 46.701 || 46.7010 || 46.726 || 46.7260 || 46.730 || 46.7300 || 46.734 || 46.7340 || 56.243 || 56.967
GHCN,106.ARCSS014
ETOPO5,106.ARCSS016
DEM-derived,106.ARCSS017
ITUM,106.ARCSS017
UNESCO,106.ARCSS021
NO3,106.ARCSS027 || 106.ARCSS049 || 62.015
SO4,106.ARCSS027
GRG,106.ARCSS027
UNH,106.ARCSS027
RegCM2,106.ARCSS030
LSM,106.ARCSS030
GCM,106.ARCSS030 || 106.ARCSS050
MLLW,106.ARCSS031
FTP,106.ARCSS038
OPP,106.ARCSS038
SES,106.ARCSS038
NSRDB,106.ARCSS043
NCDC,106.ARCSS043 || 62.178
SAMSON,106.ARCSS043
NH4,106.ARCSS046 || 106.ARCSS048
LAII,106.ARCSS051 || 106.ARCSS164
ALFS,106.ARCSS051
SAS,106.ARCSS056
LAI-2000,106.ARCSS058
SCICEX,106.ARCSS064 || 106.ARCSS070 || 106.ARCSS072
USS,106.ARCSS064
AGR,106.ARCSS066
AGR-1,106.ARCSS066
HDPE,106.ARCSS070
MOCNESS,106.ARCSS073
ARCSS/LAII/ATLAS,106.ARCSS074
USDA,106.ARCSS074
JPG,106.ARCSS074 || 56.947
TEM,106.ARCSS075 || 46.644 || 46.652 || 46.716
CTD/rosette,106.ARCSS077
SD2,106.ARCSS077
USA,106.ARCSS078 || 106.ARCSS117 || 106.ARCSS173 || 106.ARCSS905
OPP-9614557,106.ARCSS078
OPP-9907541,106.ARCSS078
OPP-0229766,106.ARCSS078
CAVM,106.ARCSS081 || 46.616
ATLAS,106.ARCSS084 || 46.758 || 46.759 || 46.760 || 46.761 || 46.762 || 46.763 || 46.764 || 46.503 || 46.618 || 46.671 || 46.698 || 46.7090 || 46.7120 || 46.710 || 46.7100 || 46.711 || 46.7110 || 46.731 || 46.732 || 46.733 || 46.747 || 46.7470 || 46.748 || 46.7480 || 46.749 || 46.7490 || 46.750 || 46.7500 || 46.751 || 46.7510 || 46.757 || 46.7570 || 46.768 || 46.769 || 46.770 || 46.771 || 46.772 || 46.773 || 46.774 || 46.775 || 46.776 || 46.777 || 46.778 || 46.779 || 46.780 || 46.781 || 46.782 || 46.783 || 46.784 || 46.785 || 46.786 || 46.787 || 46.788 || 46.789 || 46.790 || 46.791 || 46.792 || 46.793 || 46.794 || 46.819 || 46.820 || 46.827 || 46.766 || 46.685 || 46.722 || 46.723 || 46.7230 || 46.727 || 46.7270 || 46.728 || 46.729 || 46.735 || 46.736 || 46.737 || 46.7370 || 46.738 || 46.739 || 46.7390
MAT,106.ARCSS084 || 46.201 || 46.2010 || 46.202 || 46.2020 || 46.203 || 46.2030 || 46.204 || 46.2040 || 46.210 || 46.211 || 46.672 || 46.673 || 46.681 || 46.694 || 46.6940 || 46.724 || 46.725
MNT,106.ARCSS084 || 46.205 || 46.2050 || 46.206 || 46.2060 || 46.212 || 46.213 || 46.639 || 46.640 || 46.675 || 46.684 || 46.690 || 46.6900 || 46.696 || 46.6960 || 46.7000
MSS-derived,106.ARCSS084
NJ:,106.ARCSS087
OPP-9902695,106.ARCSS090
OPP-9902721,106.ARCSS090
CTD-O,106.ARCSS095
NPEO,106.ARCSS095 || 106.ARCSS156 || 106.215 || 106.ARCSS088
MBL-GEM,106.ARCSS096 || 106.ARCSS097
AARI,106.ARCSS099
EEZ,106.ARCSS099
OPP-0097147,106.ARCSS100
Exotech-100BX,106.ARCSS103
SPOT/HRV-XS,106.ARCSS103
CTD-rosette,106.ARCSS105
ARKTIS,106.ARCSS105
XIV/2,106.ARCSS105
OPP-9531220,106.ARCSS106
LLS,106.ARCSS113
SSN,106.ARCSS113
OPP-9711609,106.ARCSS113
GIS,106.ARCSS117 || 106.310 || 106.317 || 106.ARCSS112 || 255.029 || 255.030 || 255.031 || 255.035 || 62.001
WSL,106.ARCSS131
NSF-funded,106.ARCSS131
OPP-9818496,106.ARCSS131
BP,106.ARCSS136
ISO-1,106.ARCSS137
DTLB,106.ARCSS143
SAR,106.ARCSS149 || 106.301 || 13.415 || 13.416
RADARSAT,106.ARCSS149 || 13.417 || 13.418 || 13.419 || 13.812 || 13.813 || 13.814
ERS,106.ARCSS149
VIS,106.ARCSS149
IR,106.ARCSS149 || 255.015 || 13.401
RAISE,106.ARCSS157
ALD,106.ARCSS158
ERA-40,106.ARCSS158
ALT,106.ARCSS160
NPP,106.ARCSS162
KB,106.ARCSS164
GHz,106.ARCSS173
TOC,106.ARCSS176 || 102.095 || 102.097 || 102.160 || 102.161 || 62.161 || 62.1610 || 62.162 || 62.1620 || 62.163 || 62.1630 || 62.230 || 62.2300 || 62.233 || 62.2330
GTOPO30,106.ARCSS301
NAD27,106.ARCSS301
Arc/INFO,106.ARCSS301
BIL,106.ARCSS301
OPP-9400083,106.ARCSS900
OPP-9907127,106.ARCSS900
NATEX,106.ARCSS900
OPP-9996383,106.ARCSS900
LAII-ATLAS,106.ARCSS902 || 106.ARCSS903 || 106.ARCSS901
OPP-9721347,106.ARCSS902
OPP-9732126,106.ARCSS902
OPP-9870635,106.ARCSS903
ISS2,106.ARCSS904
OPP-9818066,106.ARCSS904
OPP-9732105,106.ARCSS905
OPP-9321730,106.ARCSS907
OPP-9321626,106.ARCSS910
OPP-9615845,106.ARCSS910
OPP-9907185,106.ARCSS910
NCEP/NCAR,106.238 || 106.269 || 13.713
DAILY,106.238
PRECIPITATION,106.238
FROM,106.238
STATISTICAL,106.238
RECONSTRUCTIONS,106.238
FSU,106.239 || 106.270
MONTHLY,106.239
STATION,106.239
RECORDS,106.239
AND,106.239
DISAGGREGATION,106.239
ArcticRIMS,106.239 || 106.ARCSS161 || 106.305
http://RIMS,106.239
/NCAR,106.242
WSAG,106.242
P/WBM,106.251 || 106.282
SSM/I,106.252 || 106.260 || 106.291
RIMS,106.252
SBE-19,106.215 || 13.518
WS3S,106.215
JAMSTEC,106.ARCSS126 || 13.819
J-CADs,106.ARCSS126
J-CAD,106.ARCSS126
OPP-9910305,106.ARCSS126
BIOMAS,106.294
ARC,106.294
ICOP,106.293
MDM-TEM,106.295
ASOF,106.292
HEALY,106.292
PDF,106.292 || 102.259 || 255.047
DF,106.296
iGPS,106.296
KD-2,106.297
PVC,106.297
NDWI,106.298
OC,106.300 || 106.299
BAID,106.301 || 106.325 || 106.ARCSS400
RADARSAT-1,106.301
ERS-2,106.301
ASF,106.301
NASA,106.301 || 13.816
ASF's,106.301
DAAC,106.301
NOTE:,106.ARCSS015 || 46.699 || 46.6990 || 46.7020 || 46.7030 || 46.7080 || 46.693 || 46.6930 || 56.9320
VI,106.ARCSS041
PMEL,106.ARCSS127 || 106.ARCSS128
WALE,106.ARCSS182
OOG-gi-a-nak-took,106.ARCSS122
OPP-9906740,106.ARCSS122
SSHRC,106.ARCSS122
CIRES,106.ARCSS122
CU,106.ARCSS122
FSAO,106.ARCSS129
SBE,106.ARCSS129
SeaCAT,106.ARCSS129 || 245.B53-004
"ERA40
1979-1980",106.211
ERA40,106.211
BOS,106.307
SAT,106.308
IABP,106.308
POLES,106.308
NARL_BAR,106.302
NARL,106.302
NASA-MERRA,106.309
MB,106.ARCSS130
GB,106.ARCSS130
TIC,106.ARCSS142
TICs,106.ARCSS142
DVD,106.ARCSS142
1GB,106.ARCSS142
ASFG,13.834
BEO,106.311 || 106.329 || 56.924
ARM-Barrow,106.311
ARM,106.311 || 13.740
BE,106.311
BE_,106.312
"
GD_",106.312
"
TD_",106.312
IBP,106.313 || 56.913 || 56.914 || 56.915 || 56.916 || 56.926 || 56.927 || 56.928 || 56.929 || 56.936 || 56.948 || 56.949 || 56.950 || 56.951 || 56.952 || 56.953 || 56.925
LIDAR,106.316
ALTM,106.316
IMU,106.316
ArgGIS,106.321
BASC,106.320
NOAA-CMDL,106.ARCSS400
BAID’s,106.ARCSS400
BAID-IMS,106.ARCSS400
03HQAG0177,106.ARCSS400
SDI,106.ARCSS400
RV,106.ARCSS079
OKEAN,106.ARCSS079
SEASOFT,106.ARCSS088
CRREL,106.ARCSS128
ROV,106.ARCSS150
PLEASE,106.ARCSS034
PI,106.ARCSS034
ATD,46.758
NCAR's,46.758 || 46.660 || 46.6600 || 46.661 || 46.6610
ISS,46.758
README,46.758
RASS,46.760
AVHRR-NDVI,56.902
EXCEL,46.201
MOSS,46.207 || 46.2070 || 46.208 || 46.2080 || 46.214 || 46.215
SHRUB,46.216 || 46.217
UPAD,46.502
ATLAS:,46.517 || 46.519 || 46.520 || 46.521 || 46.522 || 46.523 || 46.524 || 46.525 || 46.526 || 46.527
CALM,46.528 || 46.529 || 46.815
AVHHR,46.631
OTC,46.645 || 56.200 || 56.2000
ATLAS/Ivotuk,46.710
SDSU,46.715
N272SA,46.715
STM-TEM,46.717
SE,46.741 || 46.7410
CHN-1000,46.765
LECO,46.765
OPP-0207220,46.800
WERC,46.800
UAF,46.800 || 46.814 || 102.162 || 102.194
DVDs,46.800 || 62.160
OPP-9318535,46.814
OPP-9214927,46.814
OPP-9814984,46.814
UHI,46.817 || 46.818
CDs,46.827
DOCUMENT,46.616
GEM,46.643
CASA,46.650
LAII/ATLAS,46.686 || 46.687
RESP,46.716
IGBP,46.718
TBMs,46.740
TCMs,46.756
NSF-sponsored,46.767
BASE,230.001
PMS-2D,230.004
AIMR,230.005
BEST,102.001 || 102.047 || 102.084 || 102.092 || 102.093 || 102.094 || 102.104 || 102.106 || 102.107 || 102.108 || 102.109 || 102.110 || 102.111 || 102.014 || 102.0140 || 102.020 || 102.078 || 102.079 || 102.171 || 102.167 || 102.163 || 102.170 || 102.136 || 102.166 || 102.1660 || 102.101 || 102.120 || 102.124 || 102.168 || 102.183 || 102.209 || 102.210 || 102.211 || 102.204 || 102.206 || 102.208 || 102.216 || 102.222 || 102.223 || 102.225 || 102.224 || 102.226 || 102.229 || 102.137 || 102.138 || 102.240 || 102.241 || 102.247 || 102.248 || 102.246 || 102.244 || 102.126 || 102.181 || 102.255 || 102.257 || 102.263 || 102.264 || 102.267 || 102.273 || 102.272 || 102.276 || 102.277
KHz,102.006 || 102.039 || 102.046 || 102.072 || 102.085 || 102.115 || 102.116 || 102.200 || 102.201
"
ENR",102.006
"
ENS",102.006
"
ENX",102.006
"
STA",102.006
"
LTA",102.006
NMEA,102.006
"
NMS",102.006
DMSP,102.007 || 102.032 || 102.042 || 102.050 || 102.054 || 102.055 || 102.064 || 102.075 || 102.086 || 102.088 || 102.090 || 102.117 || 102.139 || 102.173 || 102.113 || 102.052 || 102.122 || 102.003 || 62.075 || 62.079 || 62.080 || 62.081 || 62.095 || 62.096 || 62.097 || 62.098
NOAA-12,102.008 || 62.082 || 62.083 || 62.084 || 62.085 || 62.086 || 62.087 || 62.099 || 62.100 || 62.101 || 62.102 || 62.103 || 62.104 || 13.402 || 13.403 || 13.409
NOAA-14,102.008 || 13.404 || 13.405 || 13.406 || 13.408
NOAA-17,102.008
NOAA-18,102.008
SCS,102.012 || 102.174 || 102.102 || 102.049 || 102.071 || 102.112 || 102.151 || 102.169 || 102.215 || 102.028 || 102.009 || 62.170 || 62.177
LDEO,102.013 || 102.128
MB-System,102.023
SEG-Y,102.031
"
BEST",102.032
HLY0801,102.040
'TRUE',102.040
RM,102.040
HLY0802,102.061 || 102.143 || 102.145 || 102.270 || 102.271
ENR,102.072
"Data
ENS",102.085
"Data
ENX",102.085
"Data
STA",102.085
"Data
LTA",102.085
"Data
NMS",102.085
HRPT,102.087 || 102.091 || 102.114 || 102.118 || 102.140 || 102.172 || 102.123
NOAA-15,102.087
NOAA-19,102.087
HLY0901,102.087
XBT,102.105 || 102.227 || 102.219
EPR,102.127
UNOLS,102.129 || 102.130 || 102.131 || 102.132 || 102.177 || 102.179 || 102.189 || 102.190 || 102.193 || 102.187 || 102.188 || 102.133 || 102.228 || 102.238
BEST-BSIERP,102.143 || 102.144 || 102.146
WAGB-20,102.143 || 102.096 || 102.158 || 102.159 || 62.2430
POC,102.146 || 245.B56-001 || 245.B56-002 || 62.208 || 62.244 || 62.2440 || 62.245 || 62.2450 || 62.248 || 62.2480 || 62.249 || 62.2490 || 62.250 || 62.2500
PON,102.146
HLY-07-01,102.014
PN,102.019
ANCA,102.019
HLY-0701,102.024
ARC-0722448,102.079
TON,102.095
HLY0701,102.140 || 102.258 || 102.260
CHRPT,102.141
FY1-D,102.141
CMA,102.141
HLY0601,102.153 || 102.150 || 102.152 || 102.147 || 102.148 || 102.202 || 102.205 || 102.217 || 102.218
STudy,102.125
BESTMAS,102.125
BSIERP,102.158 || 245.B64-002 || 245.B69-002 || 245.B69-006 || 245.B69-007
HLY08-02,102.163
HLY08-03,102.163
HLY09-02,102.163 || 102.180
KN195-10,102.163
TN249,102.163 || 102.232 || 102.236 || 102.203
TN250,102.163 || 102.233 || 102.237
HLY0902,102.175 || 102.230 || 102.234
SAMOS,102.174
BIOS,102.184
SEABIRD,102.060
USCG,102.1660 || 62.190
EM300,102.190
HL0803,102.059
NOAA/PMEL,102.059
EcoFOCI,102.059
