116.001 | ADELE_SPRITE | NCAR/EOL/RAF
116.002 | ADELE_SPRITE | NCAR/EOL
116.003 | ADELE_SPRITE | NCAR/EOL
116.004 | ADELE_SPRITE | NCAR/EOL
116.005 | ADELE_SPRITE | NCAR/EOL
116.006 | ADELE_SPRITE | NCAR/EOL
116.007 | ADELE_SPRITE | NCAR/EOL
116.008 | ADELE_SPRITE | NCAR/RAF
116.009 | ADELE_SPRITE | NCAR/RAF
116.010 | ADELE_SPRITE | EOL/RAF
100.001 | BAMEX | /NCAR-EOL
100.002 | BAMEX | NCAR/EOL
100.003 | BAMEX | NCAR/EOL
100.004 | BAMEX | NCAR/EOL
21.004 | BAMEX | /NCAR-EOL
21.005 | BAMEX | /NCAR-EOL
21.009 | BAMEX | /NCAR-EOL
21.087 | BAMEX | /NCAR-EOL
21.088 | BAMEX | /NCAR-EOL
21.089 | BAMEX | /NCAR-EOL
21.090 | BAMEX | /NCAR-EOL
21.091 | BAMEX | NCAR/EOL
21.092 | BAMEX | /NCAR-EOL
51.001 | BAMEX | NCAR/EOL
71.008 | BAMEX | NCAR/EOL
85.002 | BAMEX | NCAR/EOL
85.003 | BAMEX | NCAR/EOL
85.004 | BAMEX | NCAR/EOL
85.005 | BAMEX | NCAR/EOL
85.006 | BAMEX | NCAR/EOL
85.007 | BAMEX | NCAR/EOL
85.008 | BAMEX | NCAR/EOL
85.009 | BAMEX | NCAR/EOL
85.010 | BAMEX | NCAR/EOL
85.012 | BAMEX | NCAR/EOL
85.014 | BAMEX | NCAR/EOL
85.016 | BAMEX | NCAR/EOL
85.017 | BAMEX | NCAR/EOL
85.018 | BAMEX | NCAR/EOL
85.019 | BAMEX | NCAR/EOL
85.020 | BAMEX | NCAR/EOL
85.021 | BAMEX | NCAR/EOL
85.022 | BAMEX | NCAR/EOL
85.023 | BAMEX | NCAR/EOL
85.024 | BAMEX | NCAR/EOL
85.025 | BAMEX | NCAR/EOL
85.026 | BAMEX | NCAR/EOL
85.027 | BAMEX | NCAR/EOL
85.028 | BAMEX | NCAR/EOL
