DOE G-1 Aerosol Mass Spectrometry (CTOF) Data [Alexander, Mike L. (PNNL)] 	 http://data.eol.ucar.edu/master_list/ftp_url.html?DOE G-1 Aerosol Mass Spectrometry (CTOF) Data&ftp://ftp.asd.bnl.gov/pub/ASP%20Field%20Programs/2006MAXMex/ 
Document 	 ftp://ftp.asd.bnl.gov/pub/ASP%20Field%20Programs/2006MAXMex/ 
DOE G-1 Calculated Meteorological Data [Springston, Stephen R. (BNL)] 	 http://data.eol.ucar.edu/master_list/ftp_url.html?DOE G-1 Calculated Meteorological Data&ftp://ftp.asd.bnl.gov/pub/ASP%20Field%20Programs/2006MAXMex/ 
Document 	 ftp://ftp.asd.bnl.gov/pub/ASP%20Field%20Programs/2006MAXMex/ 
DOE G-1 DMT Single Particle Soot Photometer Data [Jonsson, Haflidi H. (BNL)] 	 http://data.eol.ucar.edu/master_list/ftp_url.html?DOE G-1 DMT Single Particle Soot  Photometer Data&ftp://ftp.asd.bnl.gov/pub/ASP%20Field%20Programs/2006MAXMex/ 
Document 	 ftp://ftp.asd.bnl.gov/pub/ASP%20Field%20Programs/2006MAXMex/ 
DOE G-1 Meteorological, UV, N, Scatter, Aerosol Absorbance Data [Hubbe, John M. (PNNL)] 	 http://data.eol.ucar.edu/master_list/ftp_url.html?DOE G-1 Meteorological, UV, N, Scatter, Aerosol Absorbance Data&ftp://ftp.asd.bnl.gov/pub/ASP%20Field%20Programs/2006MAXMex/ 
Document 	 ftp://ftp.asd.bnl.gov/pub/ASP%20Field%20Programs/2006MAXMex/ 
DOE G-1 Mission Summaries [(NCAR-EOL)] 	 http://catalog.eol.ucar.edu/cgi-bin/milagro/report/index 
DOE G-1 Multi Filter Radiometer Data [Barnard, James C. (PNL)] 	 http://data.eol.ucar.edu/master_list/ftp_url.html?DOE G-1 Multi Filter Radiometer Data&ftp://ftp.asd.bnl.gov/pub/ASP%20Field%20Programs/2006MAXMex/ 
Document 	 ftp://ftp.asd.bnl.gov/pub/ASP%20Field%20Programs/2006MAXMex/ 
