ML.0;94.002;290781
ML.10;94.003;290782
ML.100;85.156;290783
ML.101;85.157;290784
ML.1017;93.041;290785
ML.1018;93.042;290786
ML.1019;93.043;290787
ML.102;85.158;290788
ML.1020;93.044;290789
ML.1021;93.045;290790
ML.1022;93.046;290791
ML.1023;93.047;290792
ML.1024;93.048;290793
ML.1026;93.049;290794
ML.1027;93.050;290795
ML.1028;93.051;290796
ML.1029;93.052;290797
ML.103;85.159;290798
ML.1030;93.053;290799
ML.1031;93.054;290800
ML.1032;93.055;290801
ML.1033;93.056;290802
ML.1034;93.057;290803
ML.1035;93.058;290804
ML.1036;93.059;290805
ML.1037;93.060;290806
ML.1038;93.061;290807
ML.1039;93.062;290808
ML.104;85.160;290809
ML.1040;93.063;290810
ML.1042;93.064;290811
ML.1043;93.065;290812
ML.1044;93.066;290813
ML.105;85.161;290814
ML.1050;93.067;290815
ML.1057;93.068;290816
ML.1058;93.069;290817
ML.1059;93.070;290818
ML.106;85.162;290819
ML.1060;93.071;290820
ML.1061;93.072;290821
ML.1062;93.073;290822
ML.1064;93.074;290823
ML.1065;93.075;290824
ML.1066;93.076;290825
ML.1067;93.077;290826
ML.1068;93.078;290827
ML.1069;93.079;290828
ML.107;85.163;290829
ML.1070;93.080;290830
ML.1071;93.081;290831
ML.1072;93.082;290832
ML.1073;93.083;290833
ML.1074;93.084;290834
ML.1075;93.085;290835
ML.1076;93.086;290836
ML.1077;93.087;290837
ML.1078;93.088;290838
ML.108;85.164;290839
ML.1081;93.089;290840
ML.1082;93.090;290841
ML.1083;93.091;290842
ML.1088;93.092;290843
ML.1089;93.093;290844
ML.109;85.165;290845
ML.1090;93.094;290846
ML.11;94.004;290847
ML.110;85.166;290848
ML.1104;93.095;290849
ML.1105;93.096;290850
ML.1107;93.097;290851
ML.111;85.167;290852
ML.1115;93.098;290853
ML.1116;93.099;290854
ML.1117;93.100;290855
ML.1118;93.101;290856
ML.1119;93.102;290857
ML.112;85.168;290858
ML.1120;93.103;290859
ML.1121;93.104;290860
ML.1123;93.105;290861
ML.1124;93.106;290862
ML.1125;93.107;290863
ML.1127;93.108;290864
ML.1128;93.109;290865
ML.1129;93.110;290866
ML.113;85.169;290867
ML.1132;93.111;290868
ML.1133;93.112;290869
ML.1134;93.113;290870
ML.1135;93.114;290871
ML.1136;93.115;290872
ML.1137;93.116;290873
ML.1138;93.117;290874
ML.114;85.170;290875
ML.1140;93.118;290876
ML.1143;93.119;290877
ML.1144;93.120;290878
ML.1145;93.121;290879
ML.1146;93.122;290880
ML.1148;93.123;290881
ML.115;85.171;290882
ML.1153;93.124;290883
ML.1154;93.125;290884
ML.1155;93.126;290885
ML.1156;93.127;290886
ML.1157;93.128;290887
ML.1158;93.129;290888
ML.1159;93.130;290889
ML.116;85.172;290890
ML.1160;93.131;290891
ML.1161;93.132;290892
ML.1162;93.133;290893
ML.1166;93.134;290894
ML.1168;93.135;290895
ML.1169;93.136;290896
ML.117;85.173;290897
ML.1171;93.137;290898
ML.1177;93.138;290899
ML.1178;93.139;290900
ML.1179;93.140;290901
ML.118;72.115;290902
ML.1180;93.141;290903
ML.1181;93.142;290904
ML.1182;93.143;290905
ML.1183;93.144;290906
ML.1184;93.145;290907
ML.1185;93.146;290908
ML.1186;93.147;290909
ML.1187;93.148;290910
ML.1188;93.149;290911
ML.119;72.116;290912
ML.1190;93.150;290913
ML.1191;93.151;290914
ML.1192;93.152;290915
ML.1193;93.153;290916
ML.1194;93.154;290917
ML.1195;93.155;290918
ML.1196;93.156;290919
ML.1197;93.157;290920
ML.1198;93.158;290921
ML.1199;93.159;290922
ML.12;94.005;290923
ML.120;72.117;290924
